REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060567,35.0,660.0,90.0,7.4,110.0,360.0,110.0,25.0,5.0,620.0,0.0,625.0
2021S051248060568,35.0,560.0,45.0,4.3,85.0,305.0,85.0,15.0,5.0,555.0,0.0,555.0
2021S051248060569,40.0,735.0,165.0,10.2,65.0,525.0,65.0,35.0,5.0,705.0,10.0,700.0
2021S051248060570,50.0,915.0,155.0,12.0,70.0,725.0,70.0,75.0,10.0,930.0,5.0,930.0
2021S051248060571,45.0,725.0,105.0,5.6,55.0,570.0,55.0,35.0,10.0,760.0,0.0,760.0
2021S051248060572,45.0,750.0,230.0,13.6,115.0,580.0,115.0,90.0,15.0,790.0,10.0,795.0
2021S051248060573,25.0,680.0,150.0,12.0,25.0,575.0,25.0,95.0,10.0,650.0,0.0,650.0
2021S051248060574,30.0,745.0,140.0,11.6,35.0,535.0,35.0,105.0,10.0,635.0,5.0,635.0
2021S051248060575,35.0,605.0,275.0,14.9,50.0,470.0,50.0,60.0,15.0,585.0,5.0,585.0
2021S051248060576,35.0,530.0,160.0,10.0,25.0,430.0,25.0,85.0,5.0,525.0,10.0,520.0
2021S051248060577,20.0,510.0,140.0,11.3,45.0,455.0,45.0,105.0,20.0,550.0,0.0,550.0
2021S051248060578,25.0,575.0,115.0,10.3,80.0,455.0,80.0,55.0,40.0,615.0,0.0,615.0
2021S051248060580,30.0,895.0,325.0,15.0,80.0,775.0,75.0,125.0,15.0,920.0,15.0,920.0
2021S051248060581,10.0,370.0,75.0,10.7,30.0,285.0,30.0,30.0,5.0,335.0,0.0,335.0
2021S051248060582,15.0,530.0,155.0,14.7,35.0,460.0,35.0,60.0,5.0,535.0,5.0,540.0
2021S051248060583,40.0,705.0,415.0,12.1,40.0,490.0,35.0,65.0,10.0,645.0,25.0,640.0
2021S051248060584,30.0,580.0,260.0,11.3,50.0,450.0,50.0,85.0,5.0,575.0,25.0,575.0
2021S051248060585,10.0,560.0,170.0,10.4,35.0,430.0,35.0,60.0,10.0,495.0,10.0,495.0
2021S051248060586,35.0,485.0,245.0,21.7,35.0,380.0,35.0,65.0,15.0,460.0,20.0,465.0
2021S051248060587,35.0,490.0,270.0,10.8,40.0,455.0,35.0,70.0,10.0,595.0,25.0,595.0
